"id","name","created_at","updated_at"
81,Borse Bochiro Wet Mill,2018-08-27 23:41:41.974,2018-08-27 23:41:41.974
82,Agustin Casa Coyo,2018-08-28 18:29:37.514,2018-08-28 18:29:37.514
83,Eulogio Guerra,2018-08-28 18:38:42.924,2018-08-28 18:38:42.924
84,Finca La Cuesta,2018-08-28 18:46:23.375,2018-08-28 18:46:23.375
85,Finca Isnul,2018-08-30 18:55:15.550,2018-08-30 18:55:15.550
86,El Bosque,2018-08-30 19:28:45.214,2018-08-30 19:28:45.214
87,Heza Mill,2018-08-30 19:36:43.401,2018-08-30 19:36:43.401
88,Aponte Village,2018-08-30 19:42:43.481,2018-08-30 19:42:43.481
89,Santa Teresa,2018-08-31 01:38:32.637,2018-08-31 01:38:32.637
90,Bosques De San Francisco,2018-09-02 14:18:06.875,2018-09-02 14:18:06.875
91,Macho,2018-09-02 14:48:02.374,2018-09-02 14:48:02.374
92,Karumandi,2018-09-02 14:58:13.924,2018-09-02 14:58:13.924
93,Finca Concepción Pixcayá,2018-09-02 15:07:23.973,2018-09-02 15:07:23.973
94,Kebado,2018-09-02 15:15:19.038,2018-09-02 15:15:19.038
95,Los Girasoles,2018-09-02 15:19:06.795,2018-09-02 15:19:06.795
96,Las Lajas,2018-09-04 14:27:02.443,2018-09-04 14:27:02.443
97,Finca Santo Tomas Perdido,2018-09-04 14:52:42.341,2018-09-04 14:52:42.341
98,Finca San Pedro,2018-09-04 15:02:07.579,2018-09-04 15:02:07.579
99,Don Pepe Estate,2018-09-06 14:24:02.477,2018-09-06 14:24:02.477
100,La Joya,2018-09-06 14:55:10.389,2018-09-06 14:55:10.389
101,Finca Palo Verde,2018-09-07 13:03:07.930,2018-09-07 13:03:07.930
102,Finca Macho,2018-09-08 15:03:51.438,2018-09-08 15:03:51.438
103,Ojo de Agua,2018-09-08 16:25:29.700,2018-09-08 16:25:29.700
104,Puro Guyabal,2018-09-13 01:43:48.546,2018-09-13 01:43:48.546
105,Gesha Village Coffee Estate,2018-09-13 02:00:33.246,2018-09-13 02:00:33.246
106,Café Burio,2018-09-13 02:08:29.940,2018-09-13 02:08:29.940
107,Las Torres,2018-09-13 02:12:32.858,2018-09-13 02:12:32.858
108,Finca San Gabriel,2018-09-13 02:17:49.916,2018-09-13 02:17:49.916
109,Finca Calera,2018-09-13 15:50:06.700,2018-09-13 15:50:06.700
110,Finca Mileydi,2018-09-13 15:56:28.867,2018-09-13 15:56:28.867
111,Finca Shangrila,2018-09-13 15:59:41.378,2018-09-13 15:59:41.378
112,Finca El Aguila,2018-09-13 16:03:44.179,2018-09-13 16:03:44.179
113,Finca Panorama,2018-09-15 00:35:58.581,2018-09-15 00:35:58.581
114,Finca La Victoria,2018-09-15 00:47:39.794,2018-09-15 00:47:39.794
115,Finca Pashapa,2018-09-15 17:49:03.592,2018-09-15 17:49:03.592
116,Fazenda Laranjal,2018-09-15 19:46:28.808,2018-09-15 19:46:28.808
117,Finca La Roxanita,2018-09-15 20:15:47.972,2018-09-15 20:15:47.972
118,La Colmenita,2018-09-15 20:30:56.983,2018-09-15 20:30:56.983
742,Altos del Abejonal,2019-11-04 17:19:51.605,2019-11-04 17:19:51.605
765,La Piñona,2019-11-17 01:48:32.703,2019-11-17 01:48:32.703
770,Finca Membrano,2019-11-17 03:24:53.314,2019-11-17 03:24:53.314
773,El Guaco,2019-11-20 15:35:18.656,2019-11-20 15:35:18.656
776,Oreti Estate,2019-11-20 16:26:12.748,2019-11-20 16:26:12.748
792,Fazenda Furnas,2019-12-02 01:57:40.634,2019-12-02 01:57:40.634
809,Santa Marta,2019-12-11 21:14:28.385,2019-12-11 21:14:28.385
121,Abana Estate,2018-09-16 01:05:46.021,2019-12-12 01:36:03.692
816,Dos Ruedas,2019-12-12 02:19:19.812,2019-12-12 02:19:19.812
821,Joven Familia,2019-12-16 02:59:09.168,2019-12-16 02:59:09.168
823,Los Altos,2019-12-18 17:14:23.686,2019-12-18 17:14:23.686
